index,bindingTitle,bindingId,publicationId,date,issue,generalType,publisher,pageNumber,textHighlights,terms,url,copyrights,references
149,Helsingin Sanomat,1175150,0355-2047,1917-12-11,289,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175150?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 11.12.1917, nro 289, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175150?page=1
Kansalliskirjaston digitaaliset aineistot"
39,Uusi Suometar,1199740,1457-4721,1917-12-11,289,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199740?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 11.12.1917, nro 289, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199740?page=1
Kansalliskirjaston digitaaliset aineistot"
148,Helsingin Sanomat,1175151,0355-2047,1917-12-12,290,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175151?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 12.12.1917, nro 290, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175151?page=1
Kansalliskirjaston digitaaliset aineistot"
37,Uusi Suometar,1199742,1457-4721,1917-12-12,290,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199742?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 12.12.1917, nro 290, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199742?page=1
Kansalliskirjaston digitaaliset aineistot"
38,Uusi Suometar,1199741,1457-4721,1917-12-12,Lisälehti 1,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199741?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 12.12.1917, nro Lisälehti 1, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199741?page=1
Kansalliskirjaston digitaaliset aineistot"
248,Aamulehti,766431,0355-6913,1917-12-12,251,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766431?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 12.12.1917, nro 251, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766431?page=1
Kansalliskirjaston digitaaliset aineistot"
147,Helsingin Sanomat,1175152,0355-2047,1917-12-13,291,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175152?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 13.12.1917, nro 291, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175152?page=1
Kansalliskirjaston digitaaliset aineistot"
36,Uusi Suometar,1199743,1457-4721,1917-12-13,291,NEWSPAPER,Uuden Suomettaren Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199743?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Uusi Suometar, 13.12.1917, nro 291, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1199743?page=1
Kansalliskirjaston digitaaliset aineistot"
247,Aamulehti,766432,0355-6913,1917-12-13,252,NEWSPAPER,Aamulehti Yhtymä Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/766432?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Aamulehti, 13.12.1917, nro 252, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/766432?page=1
Kansalliskirjaston digitaaliset aineistot"
146,Helsingin Sanomat,1175153,0355-2047,1917-12-14,292,NEWSPAPER,Sanoma Oy,1,,,https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175153?page=1,Aineistoon voi liittyä käytön rajoituksia.,"Helsingin Sanomat, 14.12.1917, nro 292, s. 1
https://digi.kansalliskirjasto.fi/sanomalehti/binding/1175153?page=1
Kansalliskirjaston digitaaliset aineistot"
